university,enrollment,first.gen,year,num.courses,faculty,race,other.race,alcohol,social.network,sleep,enough.sleep,exercise,diet,GPA.range,gender,age,disability,PSS_1,PSS_2,PSS_3,PSS_4,PSS_5,PSS_6,PSS_7,PSS_8,PSS_9,PSS_10,RSES_1,RSES_2,RSES_3,RSES_4,RSES_5,RSES_6,RSES_7,RSES_8,RSES_9,RSES_10,GSE_1,GSE_2,GSE_3,GSE_4,GSE_5,GSE_6,GSE_7,GSE_8,GSE_9,GSE_10,LOTR_1,LOTR_3,LOTR_4,LOTR_7,LOTR_9,LOTR_10,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,GSQA_1,GSQA_2,GSQA_3,GSQA_4,GSQA_5,GSQA_6,GSQA_7,GSQB_1,GSQB_2,GSQB_3,GSQB_4,GSQB_5,GSQB_6,GSQB_7,GSQC_1,GSQC_2,GSQC_3,GSQC_4,GSQC_5,GSQC_6,GSQC_7,PSS.total,RSES.total,GSE.total,LOTR.total,SWLS.total,GHQ.total,PSS.help,PSS.eff,GHQa.total,QHQb.total,GHQc.total,replicate,living,covid.test,phys.class,online.class
1,1,2,1,6,3,6,,1,4,2,2,1,2,,female,18,2,3,4,4,2,3,3,3,3,3,4,3,3,2,3,2,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,2,3,4,4,3,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,32,22,30,10,24,15,11,21,4,7,4,a,,,,
1,1,2,1,6,3,5,,1,2,2,2,1,2,,female,18,2,1,2,3,2,2,4,3,3,2,3,3,3,2,2,1,3,3,0,1,1,3,2,2,3,2,3,3,2,3,3,1,1,1,2,2,2,3,2,2,1,5,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,25,19,26,9,27,17,10,15,4,6,7,a,,,,
1,1,1,1,6,6,"4,6,7",,1,3,2,2,1,2,,female,18,2,3,3,4,2,2,2,1,1,3,4,3,3,2,3,2,1,3,2,2,2,3,2,3,3,2,3,3,2,3,3,3,3,1,3,3,2,3,5,3,3,5,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,25,23,27,15,21,11,6,19,3,6,2,a,,,,
1,1,2,1,6,2,2,,1,3,2,2,1,1,,female,18,2,2,4,4,4,2,4,2,4,3,4,1,1,1,1,1,1,1,0,3,3,3,3,1,3,2,3,3,3,2,2,2,3,4,2,2,4,7,7,7,7,7,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,33,13,25,17,5,13,12,21,4,3,6,a,,,,
1,1,2,1,6,3,9,,1,1,2,2,1,1,,female,18,2,3,4,3,2,3,2,4,2,3,1,4,4,2,4,3,3,3,2,2,2,3,4,3,3,3,4,2,3,4,2,0,2,1,2,3,1,6,6,6,3,4,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,27,29,31,9,15,11,11,16,3,6,2,a,,,,
1,1,2,1,7,12,6,,1,4,3,2,1,3,,female,18,2,0,1,4,1,2,2,2,3,2,2,3,3,3,3,3,2,2,1,1,1,4,3,3,3,3,4,3,3,3,3,1,2,2,3,3,4,3,2,2,2,3,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,19,22,32,15,28,10,8,11,2,4,4,a,,,,
1,1,1,1,6,3,6,,2,3,2,2,1,1,,female,18,2,3,2,4,3,1,3,3,2,1,4,3,3,1,3,2,3,2,1,1,1,2,3,2,2,3,2,2,2,3,2,2,1,2,2,1,3,6,3,2,2,3,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,26,20,23,11,24,15,9,17,4,5,6,a,,,,
1,1,1,1,6,3,6,,2,3,3,1,2,2,,female,18,2,3,4,4,2,3,2,1,2,3,2,3,3,2,3,2,2,1,0,0,2,3,2,2,3,3,4,2,3,4,3,0,0,2,0,0,0,5,3,4,5,3,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26,18,29,2,20,18,8,18,5,7,6,a,,,,
1,1,2,1,6,3,"1,7",,1,3,2,1,1,2,,female,18,1,2,1,3,1,1,2,2,1,0,1,2,3,3,3,2,3,2,0,1,1,3,2,2,1,2,3,1,3,2,2,2,2,3,3,4,4,2,2,2,1,2,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,14,20,21,18,31,12,5,9,6,2,4,a,,,,
1,1,3,1,6,3,9,,1,3,2,1,1,2,,female,18,2,2,2,4,2,2,2,2,2,2,2,4,4,3,4,3,4,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,2,4,2,4,2,2,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,22,35,33,18,30,7,8,14,1,0,6,a,,,,
1,1,2,1,6,3,4,,1,2,2,2,2,1,,male,18,2,4,4,4,0,4,1,3,4,3,3,3,3,2,3,2,2,2,1,0,0,3,3,3,3,3,3,3,4,4,3,3,0,3,0,1,1,3,3,3,3,3,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,18,32,8,25,17,11,19,3,7,7,a,,,,
1,1,1,1,6,2,6,,2,2,3,2,1,1,,unknown,19,2,2,3,4,1,1,2,2,2,4,2,3,3,2,3,2,2,3,1,2,1,4,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,3,2,2,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,23,22,31,15,29,13,6,17,4,4,5,a,,,,
1,1,1,4,6,1,4,,1,2,3,1,1,2,3,female,21,2,2,3,4,2,2,4,2,3,2,3,2,2,1,2,2,2,2,1,1,1,3,3,2,3,2,4,3,3,3,3,1,1,0,1,2,1,7,7,6,6,7,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,27,16,29,6,7,16,9,18,3,6,7,a,,,,
1,1,1,1,6,3,4,,1,3,2,2,1,3,,male,18,2,1,0,1,2,2,1,3,3,2,1,3,3,3,3,2,3,3,2,3,3,3,2,3,2,2,3,3,3,3,2,3,4,3,3,3,3,2,1,1,4,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,16,28,26,19,30,8,10,6,2,1,5,a,,,,
1,1,2,1,6,3,6,,1,3,3,2,1,2,,female,19,2,3,4,4,2,3,4,2,3,4,4,4,4,2,3,2,3,3,1,0,0,3,3,3,3,3,3,3,3,3,3,1,0,2,1,1,3,3,3,3,4,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,33,22,30,8,22,19,10,23,6,7,6,a,,,,
1,1,2,1,6,2,6,,1,3,3,1,1,2,,female,18,2,1,2,4,2,2,2,1,2,3,2,3,3,2,3,1,3,3,1,1,1,3,3,2,3,3,3,2,3,3,3,1,2,1,1,1,1,4,5,5,6,6,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,21,21,28,7,14,12,7,14,3,3,6,a,,,,
1,1,1,1,6,2,2,,1,3,3,1,1,1,,female,19,2,1,1,2,2,1,3,2,2,1,1,3,3,3,3,1,3,3,2,1,2,3,2,3,2,2,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,16,24,25,12,29,6,7,9,1,0,5,a,,,,
1,1,2,2,5,12,"2,6,7",,2,3,2,2,1,2,3,female,25,2,2,1,3,1,2,3,1,2,1,1,3,3,2,3,2,3,3,2,2,2,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,3,5,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,17,25,28,17,24,8,6,11,4,2,2,a,,,,
1,1,2,1,6,2,6,,2,3,4,1,2,3,,female,18,2,2,3,3,2,2,2,1,1,3,3,4,4,2,4,2,4,3,1,1,2,4,3,3,3,4,4,3,3,3,2,3,3,4,3,3,3,3,2,3,2,6,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,22,27,32,19,24,4,6,16,0,3,1,a,,,,
