prior_label,focal_scale,delta4,delta5,post_prob,bf_vs_complement
narrow,0.25,0.2219664652524826,0.2032937848020796,0.9925833333333334,399.40409863000184
primary,0.5,0.24427478516055917,0.22329794422928775,0.9965833333333334,870.4930506560736
wide,1,0.25020865713185686,0.22827561127559762,0.9963333333333333,810.9377712095769
