claim_id,study_id,stat_test,bf_family,design,bf_sidedness,bf_direction,observed_sign,direction_matches_observed,prior_label,rscale,t_for_bf,df_for_bf,r_value,n1,n2,n_total,p_value,bf10,log_bf10,log10_bf10,bf_error,prior_family,model_null,model_alt,method
study_10_claim_01,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,NA,NA,1049,9.929653960744504e-42,26441903885299994e22,88.47059846093549,38.422292722262604,0.017063287306200724,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_01,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,NA,NA,1049,9.929653960744504e-42,35602540336420926e22,88.76806543385646,38.55148098715065,0.011301014541644358,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_01,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,wide,0.707,NA,NA,NA,NA,NA,1049,9.929653960744504e-42,3291274883343526e23,88.68950852602732,38.51736415556507,0.026739751119906605,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_02,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,NA,NA,1049,1.532958092634304e-11,396949638.3034302,19.79931997494574,8.598735410555763,0.011844046333492142,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_02,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,NA,NA,1049,1.532958092634304e-11,279588041.49594694,19.448827797366157,8.446518591882697,0.02030419524294636,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_02,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,wide,0.707,NA,NA,NA,NA,NA,1049,1.532958092634304e-11,187353134.9535509,19.048505816202756,8.272660964478854,0.01571170937993605,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
