claim_id,study_id,prior_label,rscale,bf10,log_bf10,log10_bf10,model_null,model_alt,method,heterogeneity_bf,delta_mean,delta_median,delta_lower,delta_upper,rho_mean
study_13_claim_01,study_13,narrow,0.5,3536637523512822e19,79.55106958543283,34.54859055045509,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.5); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged,1.6896673913566937,-1.2710077949271077,-1.2700437931351016,-1.4682396110544733,-1.0786770379771542,0.5442468964196288
study_13_claim_01,study_13,primary,0.707,4408597956984226e19,79.77144987712154,34.644300495055724,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.707); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged,1.689306134493966,-1.2710988316492107,-1.269791053490312,-1.4707842655563494,-1.0797643474948264,0.5440677386106265
study_13_claim_01,study_13,wide,1,5040134700793142e19,79.90532596987153,34.702442143395814,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 1); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged,1.6915310535790433,-1.2749356000320426,-1.2754375799598638,-1.4665061021796717,-1.0797994830850843,0.5441733640262097
study_13_claim_02,study_13,narrow,0.5,107355828571949490,39.21492521279602,17.030825628166014,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.5); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged,8.858567726285246,-0.8469423754932904,-0.8480750312770435,-1.0282502382668848,-0.6637990692318353,0.5819028176327296
study_13_claim_02,study_13,primary,0.707,120549385095065280,39.33083589869587,17.08116499944594,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.707); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged,8.871341132940316,-0.8510603858374407,-0.8504543374903835,-1.0316130354636486,-0.6663334581126966,0.5823872296383088
study_13_claim_02,study_13,wide,1,120827668362464740,39.333141696920755,17.082166394891388,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 1); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged,8.867872931346142,-0.8547387645672728,-0.8539403212367942,-1.0380188632212264,-0.6715107304788993,0.5816956055534229
