study_id,n,n_outcomes,mardia_skewness,mardia_skew_stat,mardia_skew_df,mardia_skew_p,mardia_kurtosis,mardia_kurtosis_expected,mardia_kurt_z,mardia_kurt_p
study_03,170,3,0.9333752583946177,26.445632321180835,10,0.0031848785321123433,15.776888415202055,15,0.9246821690215933,0.3551312571849722
study_18,296,8,9.811901929340934,484.0538285141527,120,3.277739763870626e-45,102.24467373100707,80,15.128013686436734,1.0584211272452049e-51
study_44,213,7,9.651430065309786,342.62576731849737,84,6.004790250335706e-33,85.30222245260539,63,14.49848677841075,1.2385017222984892e-47
