study_id,outcome,n,shapiro_p,skewness,excess_kurtosis,normality_flag
study_03,teacher_competence,170,1.3982358019374935e-4,-0.35083083374345814,-0.2085642503378411,TRUE
study_03,teacher_care,170,0.007066879806211667,-0.19657465174048075,-0.30169412513406835,FALSE
study_03,general_perception,170,0.2677556910765545,-0.03164836201474105,-0.08157884706298812,FALSE
study_18,skill_1,296,0.005747899400990644,0.4458493228244227,0.400335042113972,FALSE
study_18,skill_2,296,3.3589482948584083e-12,-1.3401942503073334,2.773773488036925,TRUE
study_18,skill_3,296,0.0676055857196966,-0.32886131418292175,0.2896104649554654,FALSE
study_18,skill_4,296,0.014127328181673579,-0.15855983897853304,-0.6174467265291259,FALSE
study_18,skill_5,296,1.2032470383256416e-8,-0.9296019627755421,1.1476515111955727,TRUE
study_18,skill_6,296,0.0034517643228990616,-0.37388897827348994,-0.09510943632370905,FALSE
study_18,skill_7,296,0.003208758527357052,-0.3798640164607082,0.06191089583930953,FALSE
study_18,skill_8,296,9.851882032700322e-7,-0.756832778673024,1.1048931564429587,TRUE
study_44,effective,213,2.6287789896094684e-7,-0.7822154033040695,0.8589699323693423,TRUE
study_44,well_liked,213,1.4193493772417993e-6,-0.5911190534069547,0.7014409649906086,TRUE
study_44,clear_expectations_reversed,213,1.3055766149999064e-6,-0.7492340335686544,0.3128023629199794,TRUE
study_44,helpful,213,1.1909320348439307e-4,-0.20495415314199006,-0.12855434928055232,TRUE
study_44,challenging_content,213,7.928769690413626e-10,-0.8552581983379577,1.1791363742850969,TRUE
study_44,learning_environment,213,2.1994716355176335e-8,-0.7873052856901239,0.446351286504985,TRUE
study_44,prepared_reversed,213,1.3994953510662372e-9,-1.0166408545906203,0.7655377851365679,TRUE
