claim_id,outcome,n_total,residual_df,f_type_1,f_type_2,f_type_3,f_intercept_vs_a,ss_type_1,ss_intercept_vs_a
study_10_claim_01,GHQc.total,1049,1043,103.49934031616623,103.5830277194131,102.86664754904568,103.59321102814303,607.7723438193821,607.7723438194462
study_10_claim_02,QHQb.total,1049,1043,25.50532099652211,25.441342696807897,25.692333712816833,24.624569916770426,221.4509709606956,221.45097096075006
