claim_id,study_id,stat_test,bf_family,design,bf_sidedness,bf_direction,observed_sign,direction_matches_observed,prior_label,rscale,t_for_bf,df_for_bf,r_value,n1,n2,n_total,p_value,bf10,log_bf10,log10_bf10,bf_error,prior_family,model_null,model_alt,method
study_03_claim_01,study_03,manova,generalized_fractional,wave3,two_sided,,,,primary,,,,,,,170,0.09731048243233506,0.017267549636421554,-4.058926282447782,-1.7627692869191516,,fractional,syllabus-by-instructor interaction block = 0,at least one interaction coefficient != 0,BFpack_generalized_fractional
study_03_claim_02,study_03,manova,generalized_fractional,wave3,two_sided,,,,primary,,,,,,,170,0.5076886452135867,0.002393664330321746,-6.034929894575288,-2.6209367518870206,,fractional,all syllabus-snapshot coefficients = 0,at least one syllabus-snapshot coefficient != 0,BFpack_generalized_fractional
study_18_claim_01,study_18,manova,generalized_fractional,wave3,two_sided,,,,primary,,,,,,,296,5.3480109314223654e-77,695585684825528e79,216.07999766511975,93.84235063562905,,fractional,all subject-group coefficients = 0,at least one subject-group coefficient != 0,BFpack_generalized_fractional
study_20_claim_01,study_20,sem_contrast,adjusted_fractional_order_restricted,wave3,one_sided,positive,,,primary,,,,,,,153,0.0209958858209693,1.6091849236047984,0.4757277921736437,0.20660595502903045,,fractional,Test_H1a = 0,Test_H1a > 0,bain_aafbf_standardized_lavaan_contrast
study_20_claim_01,study_20,sem_contrast,adjusted_fractional_order_restricted,wave3,one_sided,positive,,,sensitivity_b2,,,,,,,153,0.0209958858209693,2.275731143328219,0.8223013824536165,0.3571209528610211,,fractional,Test_H1a = 0,Test_H1a > 0,bain_aafbf_standardized_lavaan_contrast
study_20_claim_01,study_20,sem_contrast,adjusted_fractional_order_restricted,wave3,one_sided,positive,,,sensitivity_b3,,,,,,,153,0.0209958858209693,2.7871900464573534,1.0250339365076986,0.4451665823888617,,fractional,Test_H1a = 0,Test_H1a > 0,bain_aafbf_standardized_lavaan_contrast
study_20_claim_02,study_20,sem_contrast,adjusted_fractional_order_restricted,wave3,one_sided,positive,,,primary,,,,,,,153,0.35982073197228404,0.1104117245985909,-2.203538949703884,-0.956984806515284,,fractional,Test_H1c = 0,Test_H1c > 0,bain_aafbf_standardized_lavaan_contrast
study_20_claim_02,study_20,sem_contrast,adjusted_fractional_order_restricted,wave3,one_sided,positive,,,sensitivity_b2,,,,,,,153,0.35982073197228404,0.15614575837233036,-1.856965359423911,-0.8064698086832933,,fractional,Test_H1c = 0,Test_H1c > 0,bain_aafbf_standardized_lavaan_contrast
study_20_claim_02,study_20,sem_contrast,adjusted_fractional_order_restricted,wave3,one_sided,positive,,,sensitivity_b3,,,,,,,153,0.35982073197228404,0.19123871675606183,-1.6542328053698292,-0.7184241791554529,,fractional,Test_H1c = 0,Test_H1c > 0,bain_aafbf_standardized_lavaan_contrast
study_26_claim_01,study_26,wilcoxon_signed_rank,rank_latent_normal,wave3,two_sided,,,,narrow,,,,,,,50,7.514318919004386e-10,3867961555.0348086,22.075993475251977,9.587482148834125,,cauchy,delta = 0,delta != 0,latent_normal_signed_rank_gibbs
study_26_claim_01,study_26,wilcoxon_signed_rank,rank_latent_normal,wave3,two_sided,,,,primary,,,,,,,50,7.514318919004386e-10,20447371885.483006,23.74112019701926,10.310637495767308,,cauchy,delta = 0,delta != 0,latent_normal_signed_rank_gibbs
study_26_claim_01,study_26,wilcoxon_signed_rank,rank_latent_normal,wave3,two_sided,,,,wide,,,,,,,50,7.514318919004386e-10,1524132768.4854884,21.144691408845073,9.183022800408512,,cauchy,delta = 0,delta != 0,latent_normal_signed_rank_gibbs
study_26_claim_02,study_26,wilcoxon_signed_rank,rank_latent_normal,wave3,two_sided,,,,narrow,,,,,,,50,9.009311485633347e-10,3552523.971369677,15.083168886677193,6.550537017098719,,cauchy,delta = 0,delta != 0,latent_normal_signed_rank_gibbs
study_26_claim_02,study_26,wilcoxon_signed_rank,rank_latent_normal,wave3,two_sided,,,,primary,,,,,,,50,9.009311485633347e-10,24639227.563433435,17.019850347251577,7.391627088630504,,cauchy,delta = 0,delta != 0,latent_normal_signed_rank_gibbs
study_26_claim_02,study_26,wilcoxon_signed_rank,rank_latent_normal,wave3,two_sided,,,,wide,,,,,,,50,9.009311485633347e-10,2500410.179772451,14.731965348289085,6.398011258351867,,cauchy,delta = 0,delta != 0,latent_normal_signed_rank_gibbs
study_39_claim_01,study_39,spearman_correlation,rank_latent_normal,wave3,two_sided,,,,narrow,,,,,,,31,0.00785525563692106,21.686394659460976,3.0766850896974978,1.3361873570096348,,stretched_beta,latent rho = 0,latent rho != 0,latent_normal_spearman_gibbs
study_39_claim_01,study_39,spearman_correlation,rank_latent_normal,wave3,two_sided,,,,primary,,,,,,,31,0.00785525563692106,17.490275218700592,2.861645024681467,1.242796643385056,,stretched_beta,latent rho = 0,latent rho != 0,latent_normal_spearman_gibbs
study_39_claim_01,study_39,spearman_correlation,rank_latent_normal,wave3,two_sided,,,,wide,,,,,,,31,0.00785525563692106,16.53341053076472,2.8053832142513504,1.2183624495733696,,stretched_beta,latent rho = 0,latent rho != 0,latent_normal_spearman_gibbs
study_39_claim_02,study_39,spearman_correlation,rank_latent_normal,wave3,two_sided,,,,narrow,,,,,,,30,0.03141382760977439,3.6628952297496613,1.2982538810806787,0.5638244966628193,,stretched_beta,latent rho = 0,latent rho != 0,latent_normal_spearman_gibbs
